im1.jpg,0.167,3
im2.jpg,0.067,5
im3.jpg,0.067,7
im4.jpg,0.067,9
im5.jpg,0.067,11
im6.jpg,0.067,13
im7.jpg,0.067,15
im8.jpg,0.467,17
im9.jpg,0.067,19
im10.jpg,0.067,100
im11.jpg,0.097,200
im12.jpg,0.067,300
im13.jpg,0.067,400
im14.jpg,0.067,500
im15.jpg,0.767,600
im16.jpg,0.067,700
im17.jpg,0.057,800
im18.jpg,0.067,900
im19.jpg,0.067,1000
im20.jpg,0.067,1100
im21.jpg,0.067,1200
im22.jpg,0.467,1300
im23.jpg,0.067,1400
im24.jpg,0.067,1500
im25.jpg,0.067,1600
im26.jpg,0.067,1700
im27.jpg,0.067,1800
im28.jpg,0.067,1900
im29.jpg,0.067,2000
im30.jpg,0.067,2100
im31.jpg,0.047,2200
im32.jpg,0.967,2300
im33.jpg,0.067,2400
im34.jpg,0.067,2500
im35.jpg,0.067,2600
im36.jpg,0.067,20
im37.jpg,0.067,30
im38.jpg,0.267,40
im39.jpg,0.067,50
im40.jpg,0.667,60
